image,PSNR
baboon_hr_sr,17.229043530044972
baboon_hr_nearest,18.110912987687307
baboon_hr_bicubic,18.79858207417221
bridge_hr_sr,19.899253174835984
bridge_hr_nearest,20.599041548642575
bridge_hr_bicubic,21.699834285603078
coastguard_hr_sr,20.460025364432447
coastguard_hr_nearest,21.529752685426743
coastguard_hr_bicubic,22.031791840675115
foreman_hr_sr,24.30021950754444
foreman_hr_nearest,23.150601460245056
foreman_hr_bicubic,25.14909873084494
lenna_hr_sr,25.317115961771023
lenna_hr_nearest,25.387693700251326
lenna_hr_bicubic,27.396863325177844
man_hr_sr,21.554638975651276
man_hr_nearest,21.782458308182843
man_hr_bicubic,23.225622161674906
monarch_hr_sr,23.56851478474509
monarch_hr_nearest,22.927423468510515
monarch_hr_bicubic,25.388237003543217
pepper_hr_sr,24.784693537492867
pepper_hr_nearest,24.171995366756587
pepper_hr_bicubic,25.814109906291826
